,date,mosquito_ratio
157,2018-02-26,5.517800000000001
158,2018-03-03,6.614516666666652
159,2018-03-08,5.86584
160,2018-03-11,5.5551433333333335
161,2018-03-13,9.675496666666668
162,2018-03-20,5.560599999999999
163,2018-03-23,5.673079999999999
164,2018-03-30,35.70269095238093
165,2018-04-01,24.787882380952375
166,2018-04-07,5.50899333333333
167,2018-04-08,5.38620333333333
168,2018-04-14,13.049571904761901
169,2018-04-19,35.40416142857143
170,2018-04-25,33.858405714285745
171,2018-04-29,53.454638333333364
172,2018-05-05,123.33741380952372
173,2018-05-06,474.516259761903
174,2018-05-11,115.84595761904758
175,2018-05-13,120.64533261904758
176,2018-05-14,140.5404466666667
177,2018-06-02,511.1071411111114
178,2018-06-12,425.13984714285675
179,2018-06-12,425.13984714285675
180,2018-06-14,511.84562904761907
181,2018-06-16,443.34137047619066
182,2018-06-17,504.94932769841296
183,2018-06-19,521.7312665079362
184,2018-06-28,951.4735900000003
185,2018-06-30,888.0883366666664
186,2018-07-06,641.4240442857151
187,2018-07-08,568.2696004761908
188,2018-07-14,643.8592133333337
